Messstellennummer,Bezirk,Auspraegung,Grundwasserleiter,Datum,Parameterwert,Einheit,Ganglinie,Klassifikation,stammdaten_link
3,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),17.11.2021,12.3,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=3
145,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),18.10.2021,11.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=145
149,Mitte,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),19.10.2021,11.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=149
282,Mitte,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),15.11.2021,12.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=282
344,Spandau,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),03.11.2021,13,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=344
358,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),18.10.2021,12.5,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=358
499,Neukölln,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),30.11.2021,12.7,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=499
580,Friedrichshain-Kreuzberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),10.11.2021,13,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=580
604,Charlottenburg-Wilmersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),02.12.2021,15.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=604
645,Charlottenburg-Wilmersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),03.11.2021,12,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=645
762,Steglitz-Zehlendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),02.12.2021,13.1,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=762
775,Steglitz-Zehlendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),02.12.2021,11.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=775
1359,Charlottenburg-Wilmersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),02.11.2021,12.6,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=1359
3215,Neukölln,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),30.11.2021,13.5,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=3215
3354,Treptow-Köpenick,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),27.09.2021,10.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=3354
4061,Spandau,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),12.10.2021,11.3,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=4061
4105,Spandau,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),12.10.2021,12.6,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=4105
4233,Spandau,GW-Güte 1,Hauptgrundwasserleiter (GWL 1.3 + 2),22.11.2021,12.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=4233
4304,Charlottenburg-Wilmersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),02.11.2021,12.3,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=4304
4521,Spandau,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),12.10.2021,11.3,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=4521
