"id","name","level","flow","quality"
601,"MPS Berlin-Spandauer-Schifffahrtskanal","","","x"
151,"MPS Caprivibrücke","","","x"
153,"MPS Charlottenburg","","","x"
509,"MPS Landwehrkanal","","","x"
504,"MPS Neuköllner Schifffahrtskanal","","","x"
414,"MPS Teltowkanal","","","x"
141,"MS Mühlendammschleuse","","","x"
111,"MS Rahnsdorf","","","x"
211,"MS Schmöckwitz","","","x"
161,"MS Sophienwerder","","","x"
421,"MS Teltow-Werft","","","x"
5800106,"Schäfersee","x","",""
5800107,"Am Wolfsschluchtkanal","x","",""
5800301,"Dianasee","x","",""
5800302,"Dreipfuhl","x","",""
5800303,"Flughafensee","x","",""
5800304,"Grunewaldsee","x","",""
5800305,"Groß Glienicker See","x","",""
5800306,"Halensee","x","",""
5800308,"Hundekehlesee","x","",""
5800309,"Lietzensee","x","",""
5800310,"Waldsee Zehlendorf","x","",""
5800312,"Plötzensee","x","",""
5800313,"Fennsee","x","",""
5800314,"Weißer See","x","",""
5800315,"Obersee","x","",""
5800316,"Orankesee","x","",""
5800317,"Biesdorfer Baggersee","x","",""
5800318,"Malchower See","x","",""
5800320,"Fennpfuhl","x","",""
5803200,"Tiefwerder","x","x",""
5803500,"Pfaueninsel","x","",""
5819900,"Am Freibad","x","",""
5819901,"Lübars","x","",""
5820000,"St.-Joseph-Steg","x","",""
5826701,"Neue Fahlenbergbrücke","x","x",""
5826702,"Gosener Landstraße","x","",""
5827101,"Fähre Rahnsdorf","x","x",""
5827103,"Allendestraße","x","x",""
5827700,"Sophienwerder","x","x",""
5860900,"Fichtenau","x","",""
5861000,"Hegemeisterweg","x","",""
5861101,"Am Reitweg","x","",""
5861200,"Wiesengrund","x","x",""
5862811,"Schmöckwitz US","x","x",""
5863000,"Eisenacher Straße","x","",""
5864800,"Wuhletal","x","x",""
5864801,"Am Kienberg","x","x",""
5865200,"Hoppendorfer Straße","x","",""
5865300,"Am Bahndamm","x","x",""
5865900,"Allee der Kosmonauten","x","",""
5866301,"Zoo","x","x",""
5866700,"Schleuse Neukölln OP","x","",""
5866800,"Schleuse Neukölln UP","x","",""
5867000,"Röntgental","x","",""
5867001,"Wiltbergstraße","x","",""
5867003,"Blankenfelde","x","",""
5867100,"Krontaler Straße","x","",""
5867101,"Flaischlenstraße","x","",""
5867201,"Verteiler OP","x","",""
5867202,"Verteiler UP","x","",""
5867300,"Heinersdorf","x","",""
5867301,"Venturigerinne","x","",""
5867401,"Bürgerpark","x","x",""
5867500,"Kühnemannstraße","x","",""
5867700,"Pasewalker Brücke","x","",""
5867900,"Eisenbahnbrücke","x","x",""
5869700,"Krummendammbrücke","x","",""
5870100,"Lichterfelde","x","x",""
5870400,"Alsenbrücke","x","x",""
