topic,topic_meaning_de,topic_meaning,unit
gws,Grundwasserstand,Groundwater level,m (ue. NHN)
gwq,(Grund-)Wasserqualitaet,Groundwater quality,(see table substances_groundwater)
opq,Oberflaechen-Probenahme,surface sampling,
